<class 'sklearn.tree.tree.DecisionTreeClassifier'>,<class 'sklearn.neural_network.multilayer_perceptron.MLPClassifier'>,<class 'sklearn.svm.classes.SVC'>,<class 'sklearn.ensemble.forest.RandomForestClassifier'>
0.7148148148148148,0.7074074074074074,0.37777777777777777,0.7296296296296296
0.6851851851851852,0.6888888888888889,0.3888888888888889,0.6851851851851852
0.6777777777777778,0.6888888888888889,0.35185185185185186,0.6888888888888889
0.6444444444444445,0.6444444444444445,0.45555555555555555,0.6666666666666666
0.6777777777777778,0.6518518518518519,0.4074074074074074,0.6851851851851852
0.7037037037037037,0.6814814814814815,0.4074074074074074,0.7037037037037037
0.6592592592592592,0.6222222222222222,0.4148148148148148,0.6592592592592592
0.6185185185185185,0.6666666666666666,0.4,0.6888888888888889
0.6888888888888889,0.7074074074074074,0.3592592592592593,0.6851851851851852
0.7,0.7,0.37037037037037035,0.725925925925926
