<class 'sklearn.neural_network.multilayer_perceptron.MLPClassifier'>,<class 'sklearn.tree.tree.DecisionTreeClassifier'>,<class 'sklearn.svm.classes.SVC'>,<class 'sklearn.ensemble.forest.RandomForestClassifier'>
0.6888888888888889,0.6814814814814815,0.45925925925925926,0.6888888888888889
0.6481481481481481,0.6518518518518519,0.6407407407407407,0.6518518518518519
0.7185185185185186,0.7111111111111111,0.6555555555555556,0.7037037037037037
0.674074074074074,0.6592592592592592,0.6,0.662962962962963
0.6703703703703704,0.6925925925925925,0.5407407407407407,0.6851851851851852
0.674074074074074,0.7037037037037037,0.45925925925925926,0.6814814814814815
0.674074074074074,0.6925925925925925,0.6259259259259259,0.6851851851851852
0.6962962962962963,0.7518518518518519,0.48518518518518516,0.7333333333333333
0.7074074074074074,0.7148148148148148,0.5148148148148148,0.7185185185185186
0.6777777777777778,0.6703703703703704,0.6703703703703704,0.6888888888888889
