<class 'sklearn.tree.tree.DecisionTreeClassifier'>,<class 'sklearn.ensemble.forest.RandomForestClassifier'>,<class 'sklearn.svm.classes.SVC'>,<class 'sklearn.neural_network.multilayer_perceptron.MLPClassifier'>
0.6518518518518519,0.6592592592592592,0.4074074074074074,0.6555555555555556
0.6444444444444445,0.662962962962963,0.36666666666666664,0.6888888888888889
0.6925925925925925,0.6888888888888889,0.3888888888888889,0.6666666666666666
0.6407407407407407,0.6814814814814815,0.4074074074074074,0.6703703703703704
0.6555555555555556,0.6851851851851852,0.3814814814814815,0.6333333333333333
0.6888888888888889,0.7333333333333333,0.3962962962962963,0.7222222222222222
0.6296296296296297,0.6851851851851852,0.44814814814814813,0.674074074074074
0.6074074074074074,0.6666666666666666,0.4148148148148148,0.6851851851851852
0.6592592592592592,0.6851851851851852,0.4,0.6444444444444445
0.6925925925925925,0.6925925925925925,0.3851851851851852,0.6370370370370371
